DOT/USDT | BUY | Price: 3.9449 | RSI: 26.69
DOT/USDT | BUY | Price: 3.9473 | RSI: 28.08
DOT/USDT | BUY | Price: 3.9448 | RSI: 26.67
DOT/USDT | BUY | Price: 3.945 | RSI: 26.75
DOT/USDT | BUY | Price: 3.944 | RSI: 26.50
2025-07-24 12:52:08 | TRADE | SELL | BTC/USDT | Amount: 1 | Price: 117811.50
2025-07-24 12:52:11 | TRADE | SELL | ETH/USDT | Amount: 1 | Price: 3793.30
2025-07-24 12:52:15 | TRADE | SELL | XMR/USDT | Amount: 1 | Price: 320.58
2025-07-24 12:52:19 | TRADE | SELL | LTC/USDT | Amount: 1 | Price: 116.66
2025-07-24 12:52:23 | TRADE | SELL | DOT/USDT | Amount: 1 | Price: 4.53
2025-07-24 12:52:26 | TRADE | SELL | ADA/USDT | Amount: 1 | Price: 0.90
2025-07-24 12:52:37 | TRADE | SELL | AVAX/USDT | Amount: 1 | Price: 25.79
2025-07-24 12:52:41 | TRADE | SELL | ALGO/USDT | Amount: 1 | Price: 0.30
2025-07-24 12:52:47 | TRADE | SELL | APT/USDT | Amount: 1 | Price: 5.46
2025-07-24 12:52:54 | TRADE | SELL | INJ/USDT | Amount: 1 | Price: 15.30
2025-07-24 12:53:18 | TRADE | SELL | BTC/USDT | Amount: 1 | Price: 117811.50
2025-07-24 12:53:21 | TRADE | SELL | ETH/USDT | Amount: 1 | Price: 3793.30
2025-07-24 12:53:25 | TRADE | SELL | XMR/USDT | Amount: 1 | Price: 320.58
2025-07-24 12:53:30 | TRADE | SELL | LTC/USDT | Amount: 1 | Price: 116.66
2025-07-24 12:53:34 | TRADE | SELL | DOT/USDT | Amount: 1 | Price: 4.53
2025-07-24 12:53:37 | TRADE | SELL | ADA/USDT | Amount: 1 | Price: 0.90
2025-07-24 12:53:44 | TRADE | SELL | AVAX/USDT | Amount: 1 | Price: 25.79
2025-07-24 12:53:48 | TRADE | SELL | ALGO/USDT | Amount: 1 | Price: 0.30
2025-07-24 12:53:56 | TRADE | SELL | APT/USDT | Amount: 1 | Price: 5.46
2025-07-24 12:54:03 | TRADE | SELL | INJ/USDT | Amount: 1 | Price: 15.30
2025-07-24 13:00:56 | TRADE | SELL | DOT/USDT | Amount: 6.291524 | Price: 3.97
2025-07-24 13:01:45 | TRADE | SELL | DOT/USDT | Amount: 6.307556 | Price: 3.96
2025-07-24 13:02:33 | TRADE | SELL | DOT/USDT | Amount: 6.305647 | Price: 3.96
2025-07-24 13:03:20 | TRADE | SELL | DOT/USDT | Amount: 6.298498 | Price: 3.97
2025-07-24 13:04:08 | TRADE | SELL | DOT/USDT | Amount: 6.286936 | Price: 3.98
2025-07-24 13:04:57 | TRADE | SELL | DOT/USDT | Amount: 6.27148 | Price: 3.99
2025-07-24 13:05:45 | TRADE | SELL | DOT/USDT | Amount: 6.269121 | Price: 3.99
2025-07-24 13:06:32 | TRADE | SELL | DOT/USDT | Amount: 6.279987 | Price: 3.98
2025-07-24 13:07:19 | TRADE | SELL | DOT/USDT | Amount: 6.283301 | Price: 3.98
2025-07-24 13:08:07 | TRADE | SELL | DOT/USDT | Amount: 6.291841 | Price: 3.97
2025-07-24 13:08:55 | TRADE | SELL | DOT/USDT | Amount: 6.287885 | Price: 3.98
2025-07-24 13:09:54 | TRADE | SELL | DOT/USDT | Amount: 6.299768 | Price: 3.97
2025-07-24 13:10:42 | TRADE | SELL | DOT/USDT | Amount: 6.306125 | Price: 3.96
2025-07-24 13:11:32 | TRADE | SELL | DOT/USDT | Amount: 6.298975 | Price: 3.97
2025-07-24 13:12:19 | TRADE | SELL | DOT/USDT | Amount: 6.302627 | Price: 3.97
2025-07-24 13:13:07 | TRADE | SELL | DOT/USDT | Amount: 6.304057 | Price: 3.97
2025-07-24 13:13:55 | TRADE | SELL | DOT/USDT | Amount: 6.298498 | Price: 3.97
2025-07-24 13:14:42 | TRADE | SELL | DOT/USDT | Amount: 6.295009 | Price: 3.97
2025-07-24 13:15:31 | TRADE | SELL | DOT/USDT | Amount: 6.286778 | Price: 3.97
2025-07-24 13:16:28 | TRADE | SELL | DOT/USDT | Amount: 6.296436 | Price: 3.97
2025-07-24 13:17:15 | TRADE | SELL | DOT/USDT | Amount: 6.30088 | Price: 3.97
2025-07-24 13:18:03 | TRADE | SELL | DOT/USDT | Amount: 6.313131 | Price: 3.96
2025-07-24 13:18:52 | TRADE | SELL | DOT/USDT | Amount: 6.319515 | Price: 3.96
2025-07-24 13:19:39 | TRADE | SELL | DOT/USDT | Amount: 6.312812 | Price: 3.96
2025-07-24 13:20:27 | TRADE | SELL | DOT/USDT | Amount: 6.313291 | Price: 3.96
2025-07-24 13:20:34 | TRADE | SELL | ALGO/USDT | Amount: 97.200622 | Price: 0.26
2025-07-24 13:21:17 | TRADE | SELL | DOT/USDT | Amount: 6.320633 | Price: 3.96
2025-07-24 13:21:23 | TRADE | SELL | ALGO/USDT | Amount: 97.31413 | Price: 0.26
