timestamp,action,symbol,side,amount,price,realized_pnl,reason,balance_after
2025-08-10T08:47:29.493768,open,BTC/USDT,buy,0.00042289091613396506,118233.8,,open,950.0
2025-08-10T08:47:31.558392,open,ETH/USDT,sell,0.011282821132842749,4209.94,,open,902.5
2025-08-10T08:47:33.728847,open,XMR/USDT,sell,0.1649486420294623,273.57,,open,857.375
2025-08-26T17:19:31.887476,open,BTC/USDT,buy,0.002117,118075.8,,open,749.78356493
2025-08-26T17:19:33.228696,close,BTC/USDT,buy,0.002117,117853.1,-0.72118664,opposite_signal,999.27857763
2025-08-26T17:19:33.838215,open,BTC/USDT,sell,0.00212,117853.1,,open,749.18015706
2025-08-26T17:19:35.359642,close,BTC/USDT,sell,0.00212,118055.1,-0.67830269,opposite_signal,999.45696906
2025-08-26T17:19:36.080672,open,BTC/USDT,buy,0.002117,118055.1,,open,749.28439971
2025-08-26T17:19:37.180258,close,BTC/USDT,buy,0.002117,117765.2,-0.86333409,opposite_signal,998.59332811
2025-08-26T17:19:37.955483,open,BTC/USDT,sell,0.00212,117765.2,,open,748.68144189
2025-08-26T17:19:38.805603,close,BTC/USDT,sell,0.00212,118082.4,-0.92246246,opposite_signal,999.01612989
2025-08-26T17:19:39.725413,open,BTC/USDT,buy,0.002115,118082.4,,open,749.02210961
2025-08-26T17:19:40.392573,close,BTC/USDT,buy,0.000529,118750.0,0.29051823,partial_0.5R,811.84085961
2025-08-26T17:19:41.156053,close,BTC/USDT,buy,0.000529,118750.0,0.29051823,partial_1.0R,874.65960961
2025-08-26T17:19:41.951315,close,BTC/USDT,buy,0.001057,118525.0,0.34278119,opposite_signal,999.94053461
2025-08-26T17:19:42.801004,open,BTC/USDT,sell,0.002109,118525.0,,open,749.72134039
2025-08-26T17:19:44.895069,close,BTC/USDT,sell,0.002109,118796.8,-0.82348204,opposite_signal,1000.26379159
2025-08-26T17:19:45.930579,open,BTC/USDT,buy,0.002105,118796.8,,open,749.94646032
2025-08-26T17:19:46.597764,close,BTC/USDT,buy,0.002105,118780.0,-0.28541358,opposite_signal,999.97836032
2025-08-26T17:19:47.260770,open,BTC/USDT,sell,0.002105,118780.0,,open,749.69642842
2025-08-26T17:19:47.931247,close,BTC/USDT,sell,0.000526,118302.2,0.18897018,partial_0.5R,811.92338562
2025-08-26T17:19:48.734878,close,BTC/USDT,sell,0.000526,118302.2,0.18897018,partial_1.0R,874.15034282
2025-08-26T17:19:54.983518,close,BTC/USDT,sell,0.001053,118580.6,0.08499784,opposite_signal,999.01571462
2025-08-26T17:19:55.857888,open,BTC/USDT,buy,0.002106,118580.6,,open,749.03524028
2025-08-26T17:19:56.854164,close,BTC/USDT,buy,0.000526,118885.0,0.09766095,partial_0.5R,811.56875028
2025-08-26T17:19:57.830716,close,BTC/USDT,buy,0.00158,118610.7,-0.13982313,opposite_signal,998.97365628
2025-08-26T17:19:58.875635,open,BTC/USDT,sell,0.002106,118610.7,,open,748.92972795
2025-08-26T17:20:00.039032,close,BTC/USDT,sell,0.002106,117813.8,1.4293164,TP,997.04559075
2025-08-26T17:20:01.824696,open,BTC/USDT,sell,0.002123,117390.0,,open,747.57740178
2025-08-26T17:20:02.528185,close,BTC/USDT,sell,0.002123,117724.3,-0.95929273,opposite_signal,997.50609068
2025-08-26T17:20:03.483555,open,BTC/USDT,buy,0.002118,117724.3,,open,747.91668321
2025-08-26T17:20:04.403814,close,BTC/USDT,buy,0.002118,117604.0,-0.50400807,opposite_signal,997.00195521
2025-08-26T17:20:05.426988,open,BTC/USDT,sell,0.002119,117604.0,,open,747.54987633
2025-08-26T17:20:06.256224,close,BTC/USDT,sell,0.002119,117843.1,-0.7561091,opposite_signal,997.25940523
2025-08-26T17:20:07.250453,open,BTC/USDT,buy,0.002116,117843.1,,open,747.65404963
2025-08-26T17:20:08.298363,close,BTC/USDT,buy,0.002116,117740.1,-0.46719503,opposite_signal,996.79210123
2025-08-26T17:20:09.356155,open,BTC/USDT,sell,0.002117,117740.1,,open,747.28705374
2025-08-26T17:20:10.247164,close,BTC/USDT,sell,0.002117,118016.9,-0.83553438,opposite_signal,997.12883104
2025-08-26T17:20:13.255238,open,BTC/USDT,buy,0.002112,118016.9,,open,747.62788655
2025-08-26T17:20:14.133550,close,BTC/USDT,buy,0.002112,118002.7,-0.2792271,opposite_signal,996.84958895
2025-08-26T17:20:14.946450,open,BTC/USDT,sell,0.002112,118002.7,,open,747.37866485
2025-08-26T17:20:15.841002,close,BTC/USDT,sell,0.002112,118288.9,-0.85397833,opposite_signal,997.20482165
2025-08-26T17:20:16.587906,open,BTC/USDT,buy,0.002108,118288.9,,open,747.60246744
2025-08-26T17:20:17.407422,close,BTC/USDT,buy,0.002108,118123.6,-0.59763117,opposite_signal,996.60701624
2025-08-26T17:20:18.357009,open,BTC/USDT,sell,0.002109,118123.6,,open,747.23522117
2025-08-26T17:20:19.364407,close,BTC/USDT,sell,0.002109,118371.5,-0.77220518,opposite_signal,996.88071467
2025-08-26T17:20:20.199965,open,BTC/USDT,buy,0.002105,118371.5,,open,747.45953516
2025-08-26T17:20:22.723616,close,BTC/USDT,buy,0.002105,118164.8,-0.68405796,opposite_signal,996.19643916
2025-08-26T17:20:23.550162,open,BTC/USDT,sell,0.002108,118164.8,,open,746.85594937
2025-08-26T17:20:24.621150,close,BTC/USDT,sell,0.002108,117566.2,1.01338833,TP,994.68549897
2025-08-26T17:20:25.610038,open,BTC/USDT,sell,0.002108,117986.0,,open,745.72229648
2025-08-26T17:20:26.424423,close,BTC/USDT,sell,0.000527,117721.0,0.07754621,partial_0.5R,807.76126348
2025-08-26T17:20:27.493170,close,BTC/USDT,sell,0.001581,117173.8,1.09819438,opposite_signal,993.01304128
2025-08-26T17:20:28.265946,open,BTC/USDT,buy,0.002119,117173.8,,open,744.4734678
2025-08-26T17:20:29.084082,close,BTC/USDT,buy,0.00053,117839.2,0.29038355,partial_0.5R,806.9282438
2025-08-26T17:20:30.091204,close,BTC/USDT,buy,0.001589,118412.5,1.78112098,TP,995.0857063
2025-08-26T17:20:31.162074,open,BTC/USDT,sell,0.002107,118048.4,,open,746.10899952
2025-08-26T17:20:33.285445,close,BTC/USDT,sell,0.002107,118448.2,-1.09152777,opposite_signal,995.67935692
2025-08-26T17:20:34.278448,open,BTC/USDT,buy,0.002102,118448.2,,open,746.4522624
2025-08-26T17:20:35.333671,close,BTC/USDT,buy,0.002102,118346.0,-0.4636951,opposite_signal,995.2155544
2025-08-26T17:20:36.301769,open,BTC/USDT,sell,0.002102,118346.0,,open,746.20349911
2025-08-26T17:20:37.173773,close,BTC/USDT,sell,0.002102,118701.0,-0.9953464,opposite_signal,995.71300111
2025-08-26T17:20:38.039623,open,BTC/USDT,buy,0.002097,118701.0,,open,746.54808811
2025-08-26T17:20:38.811322,close,BTC/USDT,buy,0.002097,118574.1,-0.51489224,opposite_signal,995.19797581
2025-08-26T17:20:39.830284,open,BTC/USDT,sell,0.002098,118574.1,,open,746.18074555
2025-08-26T17:20:40.857585,close,BTC/USDT,sell,0.000525,118350.9,0.05498719,partial_0.5R,808.31496805
2025-08-26T17:20:42.743916,close,BTC/USDT,sell,0.001573,118626.6,-0.26914085,opposite_signal,994.91460985
2025-08-26T17:20:43.826372,open,BTC/USDT,buy,0.002097,118626.6,,open,745.90586967
2025-08-26T17:20:44.758499,close,BTC/USDT,buy,0.002097,117909.2,-1.75239559,opposite_signal,993.16146207
2025-08-26T17:20:45.768456,open,BTC/USDT,sell,0.002106,117909.2,,open,744.59637009
2025-08-26T17:20:46.614689,close,BTC/USDT,sell,0.002106,118299.9,-1.07154238,opposite_signal,993.73595949
